company_name,post_date,comment_count
Costco,2025-01-09,111
Costco,2025-01-10,97
Costco,2025-01-11,102
Costco,2025-01-12,62
Costco,2025-01-13,366
Costco,2025-01-14,214
Costco,2025-01-15,152
Costco,2025-01-16,95
Costco,2025-01-17,194
Costco,2025-01-18,589
Costco,2025-01-19,153
Costco,2025-01-20,130
Costco,2025-01-21,607
Costco,2025-01-22,445
Costco,2025-01-23,1600
Costco,2025-01-26,1256
Costco,2025-01-27,2169
Costco,2025-01-28,768
Costco,2025-01-29,623
Costco,2025-01-30,388
Costco,2025-01-31,368
Costco,2025-02-01,252
Costco,2025-02-02,500
Costco,2025-02-03,215
Costco,2025-02-04,736
Costco,2025-02-05,542
Costco,2025-02-06,282
Costco,2025-02-07,240
Costco,2025-02-09,1136
Costco,2025-02-11,485
Costco,2025-02-12,271
Costco,2025-02-15,50
Costco,2025-02-16,237
Costco,2025-02-17,199
Costco,2025-02-18,595
Costco,2025-02-19,39
Costco,2025-02-20,249
Costco,2025-02-21,34
Costco,2025-02-22,433
Delta,2025-01-22,255
Delta,2025-02-03,67
Delta,2025-02-04,198
Delta,2025-02-10,188
Delta,2025-02-13,698
Delta,2025-02-17,1028
Delta,2025-02-18,1043
Delta,2025-02-19,917
Delta,2025-02-24,108
Delta,2025-02-27,124
Delta,2025-02-28,75
Delta,2025-03-02,243
Delta,2025-03-04,131
Google,2025-01-22,320
Google,2025-01-23,171
Google,2025-01-30,201
Google,2025-01-31,214
Google,2025-02-01,340
Google,2025-02-03,74
Google,2025-02-05,222
Google,2025-02-06,1131
Google,2025-02-07,250
Google,2025-02-10,747
Google,2025-02-12,463
Google,2025-02-19,387
Google,2025-02-24,208
Google,2025-02-27,459
Google,2025-02-28,433
Google,2025-03-03,139
Google,2025-03-04,324
Google,2025-03-05,133
Target,2025-01-12,128
Target,2025-01-13,15
Target,2025-01-14,30
Target,2025-01-15,23
Target,2025-01-16,15
Target,2025-01-17,25
Target,2025-01-18,51
Target,2025-01-19,82
Target,2025-01-21,64
Target,2025-01-22,91
Target,2025-01-23,183
Target,2025-01-24,695
Target,2025-01-30,208
Target,2025-02-02,917
Target,2025-02-04,231
Target,2025-02-10,313
Target,2025-02-12,124
Target,2025-02-13,76
Target,2025-02-14,116
Target,2025-02-15,167
Target,2025-02-16,122
Target,2025-02-19,300
Target,2025-02-20,268
Target,2025-02-22,329
Target,2025-02-23,212
