company_name,before_DEI,comment_date,Anti-DEI,Neutral-DEI,Pro-DEI
Costco,0,2025-01-26,0.17147707979626486,0.6825127334465195,0.1460101867572156
Costco,0,2025-02-02,0.20041350792556858,0.5955892487939353,0.2039972432804962
Costco,0,2025-02-09,0.1068904593639576,0.7750294464075382,0.11808009422850413
Costco,0,2025-02-16,0.05468215994531784,0.8762816131237184,0.06903622693096377
Costco,0,2025-02-23,0.027146464646464648,0.9438131313131313,0.02904040404040404
Costco,0,2025-03-02,0.03597122302158273,0.935251798561151,0.02877697841726619
Costco,0,2025-03-09,0.1111111111111111,0.7333333333333333,0.15555555555555556
Costco,0,2025-03-16,0.23076923076923078,0.5384615384615384,0.23076923076923078
Costco,0,2025-03-23,0.09090909090909091,0.9090909090909091,0.0
Costco,0,2025-03-30,0.3333333333333333,0.6666666666666666,0.0
Costco,0,2025-04-06,0.0,1.0,0.0
Costco,0,2025-04-13,0.0,1.0,0.0
Costco,0,2025-04-20,0.0,1.0,0.0
Costco,1,2025-01-12,0.1,0.875,0.025
Costco,1,2025-01-19,0.03857142857142857,0.9485714285714286,0.012857142857142857
Costco,1,2025-01-26,0.03769633507853403,0.9214659685863874,0.040837696335078534
Delta,0,2025-02-09,0.07865168539325842,0.8651685393258427,0.056179775280898875
Delta,0,2025-02-16,0.019021739130434784,0.9633152173913043,0.017663043478260868
Delta,0,2025-02-23,0.05326797385620915,0.9388888888888889,0.00784313725490196
Delta,0,2025-03-02,0.0219435736677116,0.9623824451410659,0.01567398119122257
Delta,0,2025-03-09,0.013114754098360656,0.980327868852459,0.006557377049180328
Delta,0,2025-03-16,0.008928571428571428,0.9910714285714286,0.0
Delta,0,2025-03-23,0.027777777777777776,0.9722222222222222,0.0
Delta,0,2025-03-30,0.1111111111111111,0.8888888888888888,0.0
Delta,0,2025-04-06,0.0,1.0,0.0
Delta,0,2025-04-13,0.0,1.0,0.0
Delta,1,2025-01-12,0.0,1.0,0.0
Delta,1,2025-01-19,0.0,1.0,0.0
Delta,1,2025-01-26,0.0,1.0,0.0
Delta,1,2025-02-02,0.0,0.9900990099009901,0.009900990099009901
Delta,1,2025-02-09,0.07142857142857142,0.9285714285714286,0.0
Google,0,2025-01-19,0.0,1.0,0.0
Google,0,2025-02-09,0.004273504273504274,0.9829059829059829,0.01282051282051282
Google,0,2025-02-16,0.03463203463203463,0.91005291005291,0.05531505531505532
Google,0,2025-02-23,0.013513513513513514,0.9756756756756757,0.010810810810810811
Google,0,2025-03-02,0.006472491909385114,0.9935275080906149,0.0
Google,0,2025-03-09,0.0008496176720475786,0.9974511469838573,0.0016992353440951572
Google,0,2025-03-16,0.0,0.9911504424778761,0.008849557522123894
Google,0,2025-03-23,0.0,1.0,0.0
Google,0,2025-03-30,0.0,1.0,0.0
Google,0,2025-04-06,0.0,1.0,0.0
Google,0,2025-04-13,0.043478260869565216,0.9565217391304348,0.0
Google,0,2025-04-20,0.0,1.0,0.0
Google,1,2025-01-26,0.0,1.0,0.0
Google,1,2025-02-02,0.0076045627376425855,0.9923954372623575,0.0
Google,1,2025-02-09,0.005434782608695652,0.9818840579710145,0.012681159420289856
Target,0,2025-01-26,0.006993006993006993,0.8881118881118881,0.1048951048951049
Target,0,2025-02-02,0.03498542274052478,0.8872691933916423,0.07774538386783285
Target,0,2025-02-09,0.036514522821576766,0.7427385892116183,0.22074688796680497
Target,0,2025-02-16,0.06818181818181818,0.7386363636363636,0.19318181818181818
Target,0,2025-02-23,0.036414565826330535,0.8529411764705882,0.11064425770308123
Target,0,2025-03-02,0.06915629322268327,0.7676348547717843,0.1632088520055325
Target,0,2025-03-09,0.1,0.775,0.125
Target,0,2025-03-16,0.06060606060606061,0.8787878787878788,0.06060606060606061
Target,0,2025-03-23,0.0,1.0,0.0
Target,0,2025-03-30,0.16666666666666666,0.8333333333333334,0.0
Target,0,2025-04-06,0.0,1.0,0.0
Target,0,2025-04-20,0.0,1.0,0.0
Target,1,2025-01-19,0.0,1.0,0.0
Target,1,2025-01-26,0.0,0.9838709677419355,0.016129032258064516
